
2022/08/01 (16:06:15) | WARNING: Failed to join _runner thread on exit!
2022/08/01 (16:06:15) | INFO: Quitting! Runtime: 00:00:32

2022/08/01 (16:06:19) | ===> btop++ v.1.2.8
2022/08/01 (16:06:19) | DEBUG: Starting in DEBUG mode!
2022/08/01 (16:06:19) | INFO: Logger set to DEBUG
2022/08/01 (16:06:19) | DEBUG: Using locale en_US.UTF-8
2022/08/01 (16:06:19) | INFO: Running on /dev/pts/5
2022/08/01 (16:06:35) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (16:06:45) | INFO: Quitting! Runtime: 00:00:26

2022/08/01 (16:06:46) | ===> btop++ v.1.2.8
2022/08/01 (16:06:46) | DEBUG: Starting in DEBUG mode!
2022/08/01 (16:06:46) | INFO: Logger set to DEBUG
2022/08/01 (16:06:46) | DEBUG: Using locale en_US.UTF-8
2022/08/01 (16:06:46) | INFO: Running on /dev/pts/5
2022/08/01 (16:07:02) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (16:07:18) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (16:07:18) | WARNING: Failed to join _runner thread on exit!
2022/08/01 (16:07:18) | INFO: Quitting! Runtime: 00:00:32

2022/08/01 (16:07:19) | ===> btop++ v.1.2.8
2022/08/01 (16:07:19) | DEBUG: Starting in DEBUG mode!
2022/08/01 (16:07:19) | INFO: Logger set to DEBUG
2022/08/01 (16:07:19) | DEBUG: Using locale en_US.UTF-8
2022/08/01 (16:07:19) | INFO: Running on /dev/pts/5
2022/08/01 (16:07:36) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (16:07:52) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (16:08:07) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (16:08:23) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (16:08:38) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (16:08:54) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (16:09:10) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (16:09:26) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (16:09:41) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (16:09:56) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (16:10:12) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (16:10:28) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (16:10:44) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (16:10:59) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (16:11:15) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (16:11:30) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (16:11:46) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (16:12:02) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (16:12:18) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (16:12:28) | INFO: Quitting! Runtime: 00:05:09

2022/08/01 (16:13:16) | ===> btop++ v.1.2.8
2022/08/01 (16:13:16) | INFO: Logger set to DEBUG
2022/08/01 (16:13:16) | DEBUG: Using locale en_US.UTF-8
2022/08/01 (16:13:16) | INFO: Running on /dev/pts/5
2022/08/01 (16:13:32) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (16:13:48) | ERROR: Stall in Runner thread, restarting!
2022/08/01 (16:13:52) | WARNING: Failed to join _runner thread on exit!
2022/08/01 (16:13:52) | INFO: Quitting! Runtime: 00:00:36

2022/08/01 (16:15:08) | ===> btop++ v.1.2.8
2022/08/01 (16:15:08) | INFO: Logger set to DEBUG
2022/08/01 (16:15:08) | DEBUG: Using locale en_US.UTF-8
2022/08/01 (16:15:08) | INFO: Running on /dev/pts/5
2022/08/01 (16:15:35) | INFO: Quitting! Runtime: 00:00:27

2022/08/01 (16:34:05) | ===> btop++ v.1.2.8
2022/08/01 (16:34:05) | INFO: Logger set to DEBUG
2022/08/01 (16:34:05) | DEBUG: Using locale en_US.UTF-8
2022/08/01 (16:34:05) | INFO: Running on /dev/pts/5
